Src Port,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,Pkt Len Mean,Flow Byts/s,Flow Pkts/s,SYN Flag Cnt,Init Fwd Win Byts,ACK Flag Cnt,RST Flag Cnt
443,63136,6,88407.0,1,0,54.0,0,0,0,32640,0,0
63136,443,6,65.0,1,0,1414.0,0,0,0,256,0,0
443,63136,6,57690.0,1,0,54.0,0,0,0,32640,0,0
63136,443,6,37.0,1,0,1414.0,0,0,0,256,0,0
443,63136,6,35066.0,1,0,54.0,0,0,0,32640,0,0
63136,443,6,123.00000000000001,1,0,1414.0,0,0,0,256,0,0
443,63136,6,99782.0,1,0,66.0,0,0,0,32635,0,0
63136,443,6,40.0,1,0,1414.0,0,0,0,256,0,0
443,63136,6,26018.0,1,0,66.0,0,0,0,32635,0,0
63136,443,6,41.0,1,0,1414.0,0,0,0,256,0,0
443,63136,6,19719.0,1,0,66.0,0,0,0,32635,0,0
63136,443,6,44.0,1,0,1414.0,0,0,0,256,0,0
443,63136,6,43993.0,1,0,66.0,0,0,0,32635,0,0
63136,443,6,52.0,1,0,1414.0,0,0,0,256,0,0
443,63136,6,34166.0,1,0,66.0,0,0,0,32635,0,0
63136,443,6,64.0,1,0,1414.0,0,0,0,256,0,0
443,63136,6,35684.0,1,0,66.0,0,0,0,32635,0,0
63136,443,6,56.0,1,0,1414.0,0,0,0,256,0,0
443,63136,6,21179.0,1,0,66.0,0,0,0,32635,0,0
63136,443,6,38.0,1,0,1414.0,0,0,0,256,0,0
443,63136,6,35159.0,1,0,66.0,0,0,0,32635,0,0
63136,443,6,63.0,1,0,1414.0,0,0,0,256,0,0
443,63136,6,37001.0,1,0,66.0,0,0,0,32635,0,0
63136,443,6,63.0,1,0,1414.0,0,0,0,256,0,0
443,63136,6,18474.0,1,0,66.0,0,0,0,32635,0,0
63136,443,6,78.0,1,0,1414.0,0,0,0,256,0,0
443,63136,6,40251.0,1,0,66.0,0,0,0,32635,0,0
63136,443,6,77.0,1,0,1414.0,0,0,0,256,0,0
443,63136,6,21867.0,1,0,66.0,0,0,0,32635,0,0
63136,443,6,58.0,1,0,1414.0,0,0,0,256,0,0
443,63136,6,30831.0,1,0,66.0,0,0,0,32630,0,0
443,63136,6,8116.0,1,0,54.0,0,0,0,32578,0,0
63136,443,6,93.0,1,0,2774.0,0,0,0,256,0,0
443,63136,6,36634.0,1,0,54.0,0,0,0,32640,0,0
63136,443,6,86.0,1,0,1414.0,0,0,0,256,0,0
443,63136,6,15671.999999999998,1,0,54.0,0,0,0,32640,0,0
63136,443,6,61.0,1,0,1414.0,0,0,0,256,0,0
443,63136,6,6461.0,1,0,54.0,0,0,0,32640,0,0
63136,443,6,109.0,1,0,1414.0,0,0,0,256,0,0
443,63136,6,15039.0,1,0,54.0,0,0,0,32640,0,0
63136,443,6,166.0,1,0,1414.0,0,0,0,256,0,0
443,63136,6,31620.000000000004,1,0,54.0,0,0,0,32640,0,0
63136,443,6,160.0,1,0,1414.0,0,0,0,256,0,0
443,63136,6,16960.0,1,0,54.0,0,0,0,32635,0,0
63136,443,6,53.0,1,0,2774.0,0,0,0,256,0,0
443,63136,6,23843.0,1,0,54.0,0,0,0,32640,0,0
